CC,Year,Education
AUT,2000,30.473413
AUT,2001,30.473413
AUT,2002,30.473413
AUT,2003,30.473413
AUT,2004,30.473413
AUT,2005,30.570971
AUT,2006,31.518833
AUT,2007,31.065872
AUT,2008,32.680725
AUT,2009,33.408676
AUT,2010,33.863789
AUT,2011,34.808361
AUT,2012,36.127834
AUT,2013,38.666092
AUT,2014,38.403149
AUT,2015,38.626846
AUT,2016,39.671021
AUT,2017,40.324657
AUT,2018,40.458271
AUT,2019,41.610401
AUT,2020,41.419125
BEL,2000,36.020634
BEL,2001,37.506115
BEL,2002,37.643967
BEL,2003,38.910217
BEL,2004,40.730312
BEL,2005,40.605904
BEL,2006,41.863441
BEL,2007,41.339031
BEL,2008,42.271435
BEL,2009,42.484257
BEL,2010,43.801159
BEL,2011,42.455688
BEL,2012,42.989902
BEL,2013,42.663147
BEL,2014,44.239079
BEL,2015,43.144318
BEL,2016,44.311111
BEL,2017,45.725086
BEL,2018,47.397144
BEL,2019,47.282982
BEL,2020,48.508053
CHE,2000,25.571112
CHE,2001,25.608202
CHE,2002,26.701601
CHE,2003,29.236425
CHE,2004,30.414423
CHE,2005,31.038237
CHE,2006,32.229095
CHE,2007,35.022648
CHE,2008,38.482616
CHE,2009,39.979767
CHE,2010,37.405544
CHE,2011,38.016293
CHE,2012,39.260506
CHE,2013,41.891548
CHE,2014,44.214348
CHE,2015,46.502586
CHE,2016,48.844658
CHE,2017,50.136665
CHE,2018,51.206909
CHE,2019,52.695705
CHE,2020,52.972816
CZE,2000,11.199056
CZE,2001,11.27721
CZE,2002,12.26703
CZE,2003,12.051159
CZE,2004,12.978498
CZE,2005,14.231308
CZE,2006,15.246418
CZE,2007,15.472363
CZE,2008,17.674837
CZE,2009,20.240141
CZE,2010,22.630354
CZE,2011,25.124683
CZE,2012,27.832432
CZE,2013,29.195036
CZE,2014,29.88735
CZE,2015,31.010311
CZE,2016,32.564495
CZE,2017,33.821026
CZE,2018,33.328793
CZE,2019,32.580391
CZE,2020,33.001759
DEU,2000,22.250971
DEU,2001,21.779524
DEU,2002,21.739561
DEU,2003,21.799734
DEU,2004,22.942751
DEU,2005,22.494616
DEU,2006,21.983997
DEU,2007,22.62182
DEU,2008,23.916872
DEU,2009,25.655298
DEU,2010,26.133959
DEU,2011,27.67141
DEU,2012,28.956329
DEU,2013,29.995255
DEU,2014,28.422802
DEU,2015,29.588667
DEU,2016,30.527618
DEU,2017,31.308737
DEU,2018,32.281734
DEU,2019,33.260235
DEU,2020,34.876732
DNK,2000,29.295521
DNK,2001,31.066076
DNK,2002,32.359928
DNK,2003,35.009655
DNK,2004,37.593121
DNK,2005,39.83181
DNK,2006,40.808071
DNK,2007,36.185223
DNK,2008,36.165295
DNK,2009,37.435608
DNK,2010,37.608952
DNK,2011,38.600784
DNK,2012,40.192459
DNK,2013,40.929459
DNK,2014,42.130608
DNK,2015,43.043034
DNK,2016,44.594067
DNK,2017,45.537395
DNK,2018,45.83231
DNK,2019,47.097672
DNK,2020,42.575157
ESP,2000,33.978283
ESP,2001,35.42757
ESP,2002,37.484509
ESP,2003,37.90205
ESP,2004,38.99802
ESP,2005,40.703537
ESP,2006,40.32674
ESP,2007,40.025246
ESP,2008,40.047447
ESP,2009,39.458729
ESP,2010,40.312317
ESP,2011,40.311493
ESP,2012,40.386406
ESP,2013,41.089592
ESP,2014,41.477402
ESP,2015,40.959778
ESP,2016,40.980919
ESP,2017,42.644691
ESP,2018,44.259609
ESP,2019,46.508266
ESP,2020,47.379524
FIN,2000,38.671585
FIN,2001,37.934616
FIN,2002,37.934616
FIN,2003,37.934616
FIN,2004,38.172512
FIN,2005,37.541725
FIN,2006,38.451385
FIN,2007,39.297249
FIN,2008,38.289055
FIN,2009,39.388084
FIN,2010,39.207012
FIN,2011,39.377258
FIN,2012,39.749657
FIN,2013,39.992779
FIN,2014,40.308151
FIN,2015,40.524899
FIN,2016,41.13372
FIN,2017,41.253643
FIN,2018,41.313869
FIN,2019,41.820766
FIN,2020,44.665718
FRA,2000,31.375711
FRA,2001,34.232525
FRA,2002,36.053307
FRA,2003,37.855179
FRA,2004,38.220337
FRA,2005,39.776222
FRA,2006,41.416058
FRA,2007,41.444328
FRA,2008,40.825264
FRA,2009,43.149895
FRA,2010,42.87175
FRA,2011,42.988277
FRA,2012,42.909988
FRA,2013,44.055721
FRA,2014,44.726288
FRA,2015,44.687599
FRA,2016,44.036968
FRA,2017,44.34428
FRA,2018,46.937691
FRA,2019,48.052528
FRA,2020,49.449242
GBR,2000,28.901674
GBR,2001,30.066694
GBR,2002,31.410488
GBR,2003,33.321693
GBR,2004,34.897144
GBR,2005,35.345379
GBR,2006,41.8297
GBR,2007,43.08427
GBR,2008,43.337868
GBR,2009,45.283749
GBR,2010,46.046906
GBR,2011,46.910782
GBR,2012,47.860847
GBR,2013,48.31358
GBR,2014,49.185982
GBR,2015,49.943413
GBR,2016,51.775383
GBR,2017,51.624851
GBR,2018,50.752552
GBR,2019,51.809521
GBR,2020,55.833538
GRC,2000,23.921938
GRC,2001,23.480356
GRC,2002,23.705975
GRC,2003,23.732121
GRC,2004,25.493637
GRC,2005,25.663805
GRC,2006,27.022612
GRC,2007,28.066544
GRC,2008,28.454678
GRC,2009,29.599367
GRC,2010,31.15996
GRC,2011,32.736923
GRC,2012,34.977001
GRC,2013,37.168961
GRC,2014,38.66687
GRC,2015,40.063866
GRC,2016,40.979172
GRC,2017,42.479965
GRC,2018,42.821678
GRC,2019,42.406635
GRC,2020,43.685429
HUN,2000,14.693064
HUN,2001,14.780178
HUN,2002,14.986973
HUN,2003,16.786734
HUN,2004,18.881723
HUN,2005,19.573023
HUN,2006,20.717684
HUN,2007,21.989632
HUN,2008,23.960701
HUN,2009,25.0688
HUN,2010,26.019491
HUN,2011,28.107714
HUN,2012,30.430923
HUN,2013,30.876373
HUN,2014,32.109055
HUN,2015,32.12635
HUN,2016,30.400248
HUN,2017,30.162258
HUN,2018,30.576908
HUN,2019,30.589085
HUN,2020,30.688835
IRL,2000,29.803612
IRL,2001,33.406429
IRL,2002,35.213902
IRL,2003,37.062382
IRL,2004,39.63393
IRL,2005,40.673939
IRL,2006,42.462822
IRL,2007,44.087189
IRL,2008,45.064747
IRL,2009,47.530376
IRL,2010,48.32497
IRL,2011,47.42931
IRL,2012,49.205013
IRL,2013,51.073551
IRL,2014,50.768299
IRL,2015,52.004166
IRL,2016,53.430691
IRL,2017,53.473541
IRL,2018,56.174488
