CC,Year,GDPpc
AUT,2000,29381.672832
AUT,2001,29708.48945
AUT,2002,31178.051444
AUT,2003,32158.459529
AUT,2004,33784.446804
AUT,2005,35024.557484
AUT,2006,37662.888035
AUT,2007,39437.038795
AUT,2008,41316.022642
AUT,2009,40927.556365
AUT,2010,42019.005887
AUT,2011,44469.209642
AUT,2012,46477.655075
AUT,2013,47936.677963
AUT,2014,48813.534409
AUT,2015,49942.056293
AUT,2016,52665.087457
AUT,2017,54188.360666
AUT,2018,56956.110562
AUT,2019,59716.251399
AUT,2020,57235.673886
BEL,2000,27790.064114
BEL,2001,28793.52095
BEL,2002,30282.254116
BEL,2003,30934.525167
BEL,2004,32063.379543
BEL,2005,33177.947339
BEL,2006,35256.775979
BEL,2007,36795.850249
BEL,2008,37883.233422
BEL,2009,37749.885736
BEL,2010,39837.995894
BEL,2011,40942.230717
BEL,2012,42290.858433
BEL,2013,43671.146878
BEL,2014,44929.532494
BEL,2015,46200.86629
BEL,2016,48597.487117
BEL,2017,50442.060625
BEL,2018,52530.381806
BEL,2019,55804.725289
BEL,2020,54652.164337
CZE,2000,16211.043497
CZE,2001,17611.358497
CZE,2002,18245.669005
CZE,2003,19524.399624
CZE,2004,20912.054683
CZE,2005,22045.99888
CZE,2006,23857.518264
CZE,2007,26224.942173
CZE,2008,27853.549898
CZE,2009,27635.956473
CZE,2010,27766.983552
CZE,2011,28999.754757
CZE,2012,29258.904853
CZE,2013,30828.526409
CZE,2014,32504.217576
CZE,2015,33909.309243
CZE,2016,36101.285601
CZE,2017,38842.896268
CZE,2018,41157.370409
CZE,2019,44223.295751
CZE,2020,42817.867499
DNK,2000,28672.330304
DNK,2001,29452.760705
DNK,2002,30639.953691
DNK,2003,30825.225589
DNK,2004,32948.16657
DNK,2005,34152.881663
DNK,2006,37333.84624
DNK,2007,39021.411928
DNK,2008,41282.995471
DNK,2009,40332.516629
DNK,2010,43006.150516
DNK,2011,44407.94207
DNK,2012,44808.549212
DNK,2013,46742.939663
DNK,2014,47905.477079
DNK,2015,49058.142344
DNK,2016,51967.020438
DNK,2017,55356.49009
DNK,2018,57479.350221
DNK,2019,59884.11738
DNK,2020,60768.060489
FIN,2000,26789.925656
FIN,2001,27801.065401
FIN,2002,28605.122922
FIN,2003,29053.042068
FIN,2004,31201.7603
FIN,2005,32051.762889
FIN,2006,34452.676186
FIN,2007,37843.270084
FIN,2008,40083.701943
FIN,2009,37972.457701
FIN,2010,38954.131777
FIN,2011,40916.647325
FIN,2012,40872.854802
FIN,2013,41492.918416
FIN,2014,41749.864733
FIN,2015,42490.211049
FIN,2016,44934.488245
FIN,2017,47570.270354
FIN,2018,49573.255773
FIN,2019,51811.599332
FIN,2020,52294.342491
FRA,2000,26099.7352
FRA,2001,27499.541566
FRA,2002,28528.156107
FRA,2003,28178.57676
FRA,2004,29065.215266
FRA,2005,30504.058784
FRA,2006,32472.263308
FRA,2007,34132.697684
FRA,2008,35102.870428
FRA,2009,34686.479663
FRA,2010,35910.195851
FRA,2011,37447.949543
FRA,2012,37684.198067
FRA,2013,39528.473644
FRA,2014,40144.059485
FRA,2015,40829.893311
FRA,2016,42855.944562
FRA,2017,44444.934559
FRA,2018,46336.933985
FRA,2019,50226.680167
FRA,2020,47982.359606
DEU,2000,27456.262771
DEU,2001,28663.895351
DEU,2002,29504.28924
DEU,2003,30270.992251
DEU,2004,31741.875731
DEU,2005,32236.740986
DEU,2006,34664.541909
DEU,2007,36863.113348
DEU,2008,38432.448211
DEU,2009,37465.456323
DEU,2010,39675.00238
DEU,2011,42541.513126
DEU,2012,43359.541048
DEU,2013,44993.667838
DEU,2014,47011.280402
DEU,2015,47609.557159
DEU,2016,50579.483717
DEU,2017,53071.478374
DEU,2018,55195.722049
DEU,2019,57411.520685
DEU,2020,56454.181109
GRC,2000,19519.978023
GRC,2001,20958.780315
GRC,2002,22615.957435
GRC,2003,23897.755346
GRC,2004,25460.561383
GRC,2005,25577.445437
GRC,2006,28547.218881
GRC,2007,29323.909492
GRC,2008,30855.935774
GRC,2009,30359.446595
GRC,2010,27911.57449
GRC,2011,25671.409119
GRC,2012,24911.130276
GRC,2013,25986.640698
GRC,2014,26625.159298
GRC,2015,26760.280798
GRC,2016,27511.803202
GRC,2017,28604.829152
GRC,2018,29617.518625
GRC,2019,31155.301081
GRC,2020,28349.491127
